date,time_utc,timestamp,event_class,subtype,source,p_eq_pre,p_eq_post,r_eq,p_bond_pre,p_bond_post,r_bond,delta_rate_1,delta_rate_2,delta_rate_3,rate_source_rics,m_e,z_e,D_eq_A,D_eq_B,D_eq_floor,D_eq_ceil,D_bond,R_A,R_B,R_floor,R_ceil,corr3m_US_z_lag,corr6m_US_z_lag,corr3m_EU_z_lag,corr6m_EU_z_lag,rho_tilde,rho_tilde_6m,beta_EB
2024-01-11,13:30,2024-01-11 13:30:00+00:00,CPI,,BLS,4828.0,4813.375,-0.0030338019664866,112.1640625,111.7734375,-0.0034887001613598,0.0,1.0000000000005116,1.0000000000005116,FFc1|FFc2|FFc3,0.5908396884554779,,5.0,18.0,5.0,30.0,8.970865529245179,0.5573598203762962,2.006495353354666,0.5573598203762962,3.344158922257777,2.385732497143113,2.3779738389144254,0.9061686349715293,1.663874784973594,2.385732497143113,2.3779738389144254,0.8696081136718
2024-01-25,13:15,2024-01-25 13:15:00+00:00,ECB,decision,ECB,4591.195706971547,4609.787612537701,0.0040412921584966,133.69,134.03500000000005,0.0025772728805091,-1.0000000000005116,-0.9999999999990904,-1.5000000000000568,FEIc1|FEIc2|FEIc3,-1.0000000000005116,-0.1401653548628679,5.0,18.0,5.0,30.0,8.970865529245179,0.5573598203762962,2.006495353354666,0.5573598203762962,3.344158922257777,2.125087956757269,2.409718286026378,1.1171323992291813,1.312781135996654,1.1171323992291813,1.312781135996654,1.5680497742630597
2024-01-25,13:45,2024-01-25 13:45:00+00:00,ECB,press,ECB,4611.797548274582,4616.3199036825645,0.0009801253166874,134.04500000000002,134.40499999999997,0.002682065306792,-1.7499999999998297,-2.250000000000796,-3.3749999999997726,FEIc1|FEIc2|FEIc3,-1.7499999999998297,-0.6303989662518853,5.0,18.0,5.0,30.0,8.970865529245179,0.5573598203762962,2.006495353354666,0.5573598203762962,3.344158922257777,2.125087956757269,2.409718286026378,1.1171323992291813,1.312781135996654,1.1171323992291813,1.312781135996654,0.36543678269330476
2024-01-31,19:00,2024-01-31 19:00:00+00:00,FOMC,decision,gemaf,4914.625,4900.0,-0.0029802485219335,112.3046875,112.21875,-0.0007655103195776,0.0,0.2500000000011937,1.0000000000005116,FFc1|FFc2|FFc3,0.4715874866029259,0.3765036203351574,5.0,18.0,5.0,30.0,8.970865529245179,0.5573598203762962,2.006495353354666,0.5573598203762962,3.344158922257777,2.14626324520256,2.3694531484078087,1.1208256304973572,1.3555940876324342,2.14626324520256,2.3694531484078087,3.8931526404215786
2024-01-31,19:30,2024-01-31 19:30:00+00:00,FOMC,press,gemaf,4899.125,4912.25,0.0026754675729345,112.2109375,112.3828125,0.0015305415538255,0.0,0.0,-0.750000000000739,FFc1|FFc2|FFc3,-0.0696687969723669,-0.6659678483345413,5.0,18.0,5.0,30.0,8.970865529245179,0.5573598203762962,2.006495353354666,0.5573598203762962,3.344158922257777,2.14626324520256,2.3694531484078087,1.1208256304973572,1.3555940876324342,2.14626324520256,2.3694531484078087,1.7480528811826923
2024-02-02,13:30,2024-02-02 13:30:00+00:00,NFP,,algorithmic,4958.0,4938.0,-0.004042042690011,112.6953125,111.8984375,-0.0070961755964351,0.2500000000011937,1.999999999999602,3.999999999999204,FFc1|FFc2|FFc3,1.8699977012080795,,5.0,18.0,5.0,30.0,8.970865529245179,0.5573598203762962,2.006495353354666,0.5573598203762962,3.344158922257777,1.5462465365744023,2.2385738691989134,1.1327070491020355,1.3926977373649303,1.5462465365744023,2.2385738691989134,0.5696086060837612
2024-02-13,13:30,2024-02-13 13:30:00+00:00,CPI,,BLS,5024.75,4978.125,-0.0093223873474478,110.8046875,109.9296875,-0.0079281225063518,0.2499999999997726,0.9999999999990904,1.999999999999602,FFc1|FFc2|FFc3,1.0388307758543571,,5.0,18.0,5.0,30.0,8.970865529245179,0.5573598203762962,2.006495353354666,0.5573598203762962,3.344158922257777,1.4792356993966174,2.159804324059903,1.0687375324596138,1.3777794121708886,1.4792356993966174,2.159804324059903,1.1758631807188842
2024-03-01,13:30,2024-03-01 13:30:00+00:00,NFP,,algorithmic,5103.75,5102.625,-0.0002204504546532,109.8359375,109.8671875,0.0002844747903403,0.0,0.0,-0.4999999999995452,FFc1|FFc2|FFc3,-0.1068070595771194,,5.0,18.0,5.0,30.0,8.970865529245179,0.5573598203762962,2.006495353354666,0.5573598203762962,3.344158922257777,1.721839950675583,2.284138448139818,1.1755803496680926,1.4640416458989327,1.721839950675583,2.284138448139818,-0.7749384554936782
2024-03-07,13:15,2024-03-07 13:15:00+00:00,ECB,decision,ECB,4960.521398623521,4986.14807926876,0.0051528277690722,133.405,133.865,0.0034422153942133,-1.0000000000005116,-2.5000000000005684,-3.749999999999432,FEIc1|FEIc2|FEIc3,-1.0000000000005116,-1.7683409804347838,5.0,18.0,5.0,30.0,8.970865529245179,0.5573598203762962,2.006495353354666,0.5573598203762962,3.344158922257777,1.1631528518781518,2.225895850591441,1.1625809668733365,1.4070245532781551,1.1625809668733365,1.4070245532781551,1.4969509978180349
2024-03-07,13:45,2024-03-07 13:45:00+00:00,ECB,press,ECB,4986.650563202979,4986.14807926876,-0.00010077089745,133.89499999999998,133.73000000000002,-0.0012330688157404,1.5000000000000568,1.6249999999999432,1.7499999999998297,FEIc1|FEIc2|FEIc3,1.5000000000000568,-0.66429761348027,5.0,18.0,5.0,30.0,8.970865529245179,0.5573598203762962,2.006495353354666,0.5573598203762962,3.344158922257777,1.1631528518781518,2.225895850591441,1.1625809668733365,1.4070245532781551,1.1625809668733365,1.4070245532781551,0.0817236606454051
2024-03-12,12:30,2024-03-12 12:30:00+00:00,CPI,,BLS,5136.0625,5149.75,0.0026614344913076,111.04296875,111.04296875,0.0,0.0,0.1249999999998863,1.5000000000000568,FFc1|FFc2|FFc3,0.3678307109111274,,5.0,18.0,5.0,30.0,8.970865529245179,0.5573598203762962,2.006495353354666,0.5573598203762962,3.344158922257777,1.4562262530617638,2.2241543706159264,0.9764128787193235,1.4118829797683419,1.4562262530617638,2.2241543706159264,
2024-03-20,18:00,2024-03-20 18:00:00+00:00,FOMC,decision,gemaf,5238.375,5252.0,0.0025976207068622,110.2734375,110.234375,-0.00035429584073,0.0,0.0,0.37500000000108,FFc1|FFc2|FFc3,0.2175994450235497,0.2339016826238904,5.0,18.0,5.0,30.0,8.970865529245179,0.5573598203762962,2.006495353354666,0.5573598203762962,3.344158922257777,1.4864786917726227,2.253063747016724,1.0451360107677645,1.3958516194782649,1.4864786917726227,2.253063747016724,-7.331784368424978
2024-03-20,18:30,2024-03-20 18:30:00+00:00,FOMC,press,gemaf,5252.0,5274.0,0.0041801314905452,110.234375,110.3828125,0.0013456569189481,0.0,0.0,-0.9999999999990904,FFc1|FFc2|FFc3,-0.1335061840820465,-0.5518606392854948,5.0,18.0,5.0,30.0,8.970865529245179,0.5573598203762962,2.006495353354666,0.5573598203762962,3.344158922257777,1.4864786917726227,2.253063747016724,1.0451360107677645,1.3958516194782649,1.4864786917726227,2.253063747016724,3.1063872460246467
2024-04-05,12:30,2024-04-05 12:30:00+00:00,NFP,,algorithmic,5214.75,5214.625,-2.397075567925168e-05,109.9921875,109.5859375,-0.0037002817428559,0.1249999999998863,1.0000000000005116,2.5000000000005684,FFc1|FFc2|FFc3,1.039100272333481,,5.0,18.0,5.0,30.0,8.970865529245179,0.5573598203762962,2.006495353354666,0.5573598203762962,3.344158922257777,1.519137810135854,2.2529631391497245,1.2521216236903736,1.302853468713686,1.519137810135854,2.2529631391497245,0.006478089330773744
2024-04-10,12:30,2024-04-10 12:30:00+00:00,CPI,,BLS,5267.625,5193.625,-0.0141476848937378,109.7734375,108.671875,-0.0100855616888516,0.0,1.0000000000005116,5.749999999999034,FFc1|FFc2|FFc3,1.4874666045954528,,5.0,18.0,5.0,30.0,8.970865529245179,0.5573598203762962,2.006495353354666,0.5573598203762962,3.344158922257777,1.3986147674371812,1.9812331778048233,1.3183142828939973,1.2986267475637772,1.3986147674371812,1.9812331778048233,1.4027661849886257
2024-04-11,12:15,2024-04-11 12:15:00+00:00,ECB,decision,ECB,4985.775813925709,5006.04319528313,0.0040568006956142,131.62,131.84500000000003,0.0017080071713448,0.0,-0.4999999999995452,-1.5000000000000568,FEIc1|FEIc2|FEIc3,0.0,-0.691057857243166,5.0,18.0,5.0,30.0,8.970865529245179,0.5573598203762962,2.006495353354666,0.5573598203762962,3.344158922257777,1.6975189201478649,2.12330666333198,1.3689105795293768,1.2696487423505742,1.3689105795293768,1.2696487423505742,2.3751660787349484
2024-04-11,12:45,2024-04-11 12:45:00+00:00,ECB,press,ECB,5009.083302486744,5018.203624097584,0.0018191010574727,131.85500000000002,131.89499999999998,0.0003033175378701,-0.4999999999995452,-0.5000000000009663,-0.4999999999995452,FEIc1|FEIc2|FEIc3,-0.4999999999995452,-0.0431782016615921,5.0,18.0,5.0,30.0,8.970865529245179,0.5573598203762962,2.006495353354666,0.5573598203762962,3.344158922257777,1.6975189201478649,2.12330666333198,1.3689105795293768,1.2696487423505742,1.3689105795293768,1.2696487423505742,5.997348752882715
2024-05-01,18:00,2024-05-01 18:00:00+00:00,FOMC,decision,gemaf,5053.0,5060.625,0.0015078671484701,107.65625,107.765625,0.001015449423587,0.0,0.0,0.0,FFc1|FFc2|FFc3,0.1218433643581232,-0.4517827357528921,5.0,18.0,5.0,30.0,8.970865529245179,0.5573598203762962,2.006495353354666,0.5573598203762962,3.344158922257777,1.6940093022882814,1.7793856928666192,1.3257828194137076,1.5611819318277091,1.6940093022882814,1.7793856928666192,1.484925899257169
2024-05-01,18:30,2024-05-01 18:30:00+00:00,FOMC,press,gemaf,5060.625,5111.875,0.0100762710488596,107.7578125,108.1328125,0.003473984821182,0.0,0.0,-1.0000000000005116,FFc1|FFc2|FFc3,-0.1335061840824094,-1.659066259439927,5.0,18.0,5.0,30.0,8.970865529245179,0.5573598203762962,2.006495353354666,0.5573598203762962,3.344158922257777,1.6940093022882814,1.7793856928666192,1.3257828194137076,1.5611819318277091,1.6940093022882814,1.7793856928666192,2.9004936888098483
