date,leg,regime,epsilon
2018-08-10,CPI,neg,0.8624729785551184
2018-09-07,NFP,neg,0.0019477276139304802
2018-09-13,CPI,neg,0.134789750100474
2018-10-05,NFP,neg,0.6034247879471417
2018-10-11,CPI,neg,0.18943535571109565
2018-11-02,NFP,neg,0.46000106263406915
2018-11-14,CPI,neg,-0.2766521733318705
2018-12-07,NFP,neg,-0.41226489434107094
2018-12-12,CPI,neg,-0.09970494123837066
2019-01-04,NFP,neg,0.6426279731101171
2019-01-11,CPI,neg,0.5631931099396575
2019-02-01,NFP,neg,-0.4226100876362367
2019-02-13,CPI,neg,0.30747231463086827
2019-03-01,NFP,neg,-3.2902759223111766
2019-03-12,CPI,neg,0.17244104972932062
2019-04-05,NFP,neg,1.774833379548727
2019-04-10,CPI,neg,1.909990160920839
2019-05-03,NFP,neg,-0.14472903753530625
2019-05-10,CPI,neg,-0.010982755037300113
2019-06-07,NFP,neg,0.9561382278108517
2019-06-12,CPI,neg,0.827315017732882
2019-07-05,NFP,neg,1.0830041805468642
2019-07-11,CPI,neg,-1.616587382517367
2019-08-02,NFP,neg,0.37227041363728214
2019-08-13,CPI,neg,-2.102689566243368
2019-09-06,NFP,neg,0.47987385124888743
2019-09-12,CPI,neg,0.18257981877803264
2019-10-04,NFP,neg,0.2248822667269226
2019-10-10,CPI,neg,-2.4176549316097833
2019-11-01,NFP,neg,-0.812814072139917
2019-11-13,CPI,neg,7.296191513622752
2019-12-06,NFP,neg,-0.11955552183227303
2019-12-11,CPI,neg,0.6200287134444791
2020-01-03,NFP,neg,-3.7888910136882537
2020-01-14,CPI,neg,-0.3481652702255978
2020-02-07,NFP,neg,0.15708270908632993
2020-02-13,CPI,neg,0.1857147259677314
2020-03-06,NFP,neg,0.20575618032942877
2020-03-11,CPI,neg,0.3798656814780594
2020-04-03,NFP,neg,0.22819655484992665
2020-05-01,NFP,neg,-0.055495449090859836
2020-05-12,CPI,neg,-2.043471014078367
2020-06-05,NFP,neg,0.2763293911650404
2020-06-10,CPI,neg,-4.572121093492839
2020-07-03,NFP,neg,0.09158290960580574
2020-07-14,CPI,neg,-0.2639669612494567
2020-08-07,NFP,neg,-0.19134006905979664
2020-08-12,CPI,neg,-2.6888989644131542
2020-09-04,NFP,neg,0.06634382112014652
2020-09-11,CPI,neg,0.12964003753811731
2020-10-02,NFP,neg,0.7127216656249276
2020-10-13,CPI,neg,-0.22103212517843857
2020-11-06,NFP,neg,-0.11126446388697168
2020-11-12,CPI,neg,-1.542265178775263
2020-12-04,NFP,neg,-0.6592958327862285
2020-12-10,CPI,neg,0.15541422087412501
2021-01-13,CPI,neg,0.6783952948924172
2021-02-05,NFP,neg,0.0640169808017624
2021-02-10,CPI,neg,-0.29752982292875685
2021-03-05,NFP,pos,-0.5021755624016471
2021-03-10,CPI,pos,-0.3869061698366343
2021-04-02,NFP,pos,-0.39394699618068585
2021-04-13,CPI,pos,2.5127922056822816
2021-05-07,NFP,pos,0.35407942507933476
2021-05-12,CPI,pos,1.904652327626698
2021-06-04,NFP,pos,4.664141902621651
2021-06-10,CPI,pos,4.927974335274448
2021-07-02,NFP,pos,6.306998782931138
